scaleFactor,minNeighbors,avgDistance
1.1,7,11.233131231702917
1.1,8,11.233131231702917
1.1,9,11.233131231702917
1.1,10,7.370012271078286
1.11,1,35.44211761662442
1.11,2,22.841669633798457
1.11,3,22.783521977976378
1.11,4,9.162203540710292
1.11,5,5.520435262659634
1.11,6,4.906073797134622
1.11,7,4.906073797134622
1.11,8,4.906073797134622
1.11,9,4.906073797134622
1.11,10,5.589846031117784
1.12,1,31.538364035936155
1.12,2,23.120442318113724
1.12,3,22.253892316157643
1.12,4,19.36748294415244
1.12,5,19.36748294415244
1.12,6,20.09756566226903
1.12,7,20.09756566226903
1.12,8,6.140905432244862
1.12,9,6.140905432244862
1.12,10,6.140905432244862
1.13,1,28.406304217320745
1.13,2,28.406304217320745
1.13,3,13.981533299959949
1.13,4,13.981533299959949
1.13,5,13.981533299959949
1.13,6,9.448828501525337
1.13,7,9.448828501525337
1.13,8,5.6745638663307485
1.13,9,6.4538531882120935
1.13,10,6.4538531882120935
1.14,1,12.686705347019409
1.14,2,10.235277021966706
1.14,3,9.813577965363876
1.14,4,10.605464082355457
1.14,5,10.605464082355457
1.14,6,10.605464082355457
1.14,7,10.605464082355457
1.14,8,10.605464082355457
1.14,9,6.714448790686714
1.14,10,7.19929439819447
1.15,1,27.864742157893943
1.15,2,10.167248390500266
1.15,3,10.167248390500266
1.15,4,10.167248390500266
1.15,5,10.167248390500266
1.15,6,10.938423829373193
1.15,7,7.094518334885686
1.15,8,7.094518334885686
1.15,9,7.094518334885686
1.15,10,7.094518334885686
1.16,1,19.932402139012652
1.16,2,17.256664972208686
1.16,3,11.339340409041808
1.16,4,11.339340409041808
1.16,5,11.339340409041808
1.16,6,11.339340409041808
1.16,7,7.193270625551446
1.16,8,7.193270625551446
1.16,9,7.193270625551446
1.16,10,6.589807197973474
1.17,1,25.32258195106929
1.17,2,24.982069467273956
1.17,3,21.706205465516653
1.17,4,22.506205465516658
1.17,5,20.873226627768737
1.17,6,20.873226627768737
1.17,7,20.873226627768737
1.17,8,6.8775225081751135
1.17,9,6.8775225081751135
1.17,10,6.8775225081751135
1.18,1,9.293557363691018
1.18,2,9.863865795672876
1.18,3,7.283127502707066
1.18,4,7.283127502707066
1.18,5,6.599058093249707
1.18,6,6.599058093249707
1.18,7,6.599058093249707
1.18,8,6.599058093249707
1.18,9,7.027520473660266
1.18,10,7.027520473660266
1.19,1,15.148679259662188
1.19,2,5.547786181952636
1.19,3,5.547786181952636
1.19,4,5.547786181952636
1.19,5,6.206238587210372
1.19,6,6.206238587210372
1.19,7,6.206238587210372
1.19,8,6.206238587210372
1.19,9,5.770565266921517
1.19,10,5.770565266921517
1.2,1,34.921311659777906
1.2,2,17.976041734580434
1.2,3,15.017649400590017
1.2,4,14.602914994194402
1.2,5,11.372137965540897
1.2,6,7.594472362680781
1.2,7,8.324555080797372
1.2,8,6.073489528924113
1.2,9,6.6103692526762945
1.2,10,6.6103692526762945
1.21,1,20.977281081827826
1.21,2,20.977281081827826
1.21,3,20.977281081827826
1.21,4,10.72986980571548
1.21,5,6.933767882989045
1.21,6,6.933767882989045
1.21,7,6.933767882989045
1.21,8,6.933767882989045
1.21,9,6.933767882989045
